% time	cellId	Interference
0.552929	1	5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 
0.635929	1	5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 
0.720929	1	5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 
0.805929	1	5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 
0.888929	1	5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 
0.973929	1	5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 
0.987929	1	5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 
1.05893	1	5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 
1.07293	1	5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 
1.14193	1	5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 5.01187e-21 
