#DestinationIp	Time	Send Tcp throughput	Send Tcp delay	Number of Lost Pkts	Number of Tx Pkts	ErrorUlTx	ErrorDlTx	HarqUlTx	HarqDlTx
0.505		1.0.0.2		0		x		0		69		x		x		x		x	0	0
0.505		7.0.0.2		0		x		0		69		x		x		x		x	0	0
0.51		1.0.0.2		0		x		0		138		x		x		x		x	0	0
0.51		7.0.0.2		0		x		0		138		x		x		x		x	0	0
0.515		1.0.0.2		0		x		0		208		x		x		x		x	0	0
0.515		7.0.0.2		0		x		0		208		x		x		x		x	0	0
0.52		1.0.0.2		0		x		0		277		x		x		x		x	0	0
0.52		7.0.0.2		0		x		0		277		x		x		x		x	0	0
0.525		1.0.0.2		0		x		0		347		x		x		x		x	0	0
0.525		7.0.0.2		0		x		0		347		x		x		x		x	0	0
0.53		1.0.0.2		0		x		0		416		x		x		x		x	0	0
0.53		7.0.0.2		0		x		0		416		x		x		x		x	0	0
0.535		1.0.0.2		0		x		0		486		x		x		x		x	0	0
0.535		7.0.0.2		0		x		0		486		x		x		x		x	0	34.928
0.54		1.0.0.2		0		x		0		555		x		x		x		x	0	0
0.54		7.0.0.2		0		x		0		555		x		x		x		x	0	38.1173
0.545		1.0.0.2		0		x		0		625		x		x		x		x	0	43.8042
0.545		7.0.0.2		0		x		0		625		x		x		x		x	0	42.2347
0.55		1.0.0.2		0		x		0		694		x		x		x		x	0	46.9776
0.55		7.0.0.2		0		x		0		694		x		x		x		x	0	47.0187
0.555		1.0.0.2		0		x		0		763		x		x		x		x	0	50.9469
0.555		7.0.0.2		0		x		0		763		x		x		x		x	0	52.1
0.56		1.0.0.2		0		x		0		833		x		x		x		x	0	48.2748
0.56		7.0.0.2		0		x		0		833		x		x		x		x	0	57.5147
0.565		1.0.0.2		0		x		0		902		x		x		x		x	0	47.7158
0.565		7.0.0.2		0		x		0		902		x		x		x		x	0	61.9654
0.57		1.0.0.2		0		x		0		972		x		x		x		x	0	47.8319
0.57		7.0.0.2		0		x		0		972		x		x		x		x	0	66.416
0.575		1.0.0.2		0		x		0		1041		x		x		x		x	0	47.7895
0.575		7.0.0.2		0		x		0		1041		x		x		x		x	0	70.8667
0.58		1.0.0.2		0		x		0		1111		x		x		x		x	0	47.7393
0.58		7.0.0.2		0		x		0		1111		x		x		x		x	0	75.948
0.585		1.0.0.2		0		x		0		1180		x		x		x		x	0	47.8081
0.585		7.0.0.2		0		x		0		1180		x		x		x		x	0	81.3627
0.59		1.0.0.2		0		x		0		1250		x		x		x		x	0	47.7335
0.59		7.0.0.2		0		x		0		1250		x		x		x		x	0	83.6294
0.595		1.0.0.2		0		x		0		1319		x		x		x		x	0	47.8734
0.595		7.0.0.2		0		x		0		1319		x		x		x		x	0	83.6641
0.6		1.0.0.2		0		x		0		1388		x		x		x		x	0	47.7243
0.6		7.0.0.2		0		x		0		1388		x		x		x		x	0	83.2909
0.605		1.0.0.2		0		x		0		1458		x		x		x		x	0	47.739
0.605		7.0.0.2		0		x		0		1458		x		x		x		x	0	83.6616
0.61		1.0.0.2		0		x		0		1527		x		x		x		x	0	47.8589
0.61		7.0.0.2		0		x		0		1527		x		x		x		x	0	83.4663
0.615		1.0.0.2		0		x		0		1597		x		x		x		x	0	47.7478
0.615		7.0.0.2		0		x		0		1597		x		x		x		x	0	83.6457
0.62		1.0.0.2		0		x		0		1666		x		x		x		x	0	47.8046
0.62		7.0.0.2		0		x		0		1666		x		x		x		x	0	83.6538
0.625		1.0.0.2		0		x		0		1736		x		x		x		x	0	47.728
0.625		7.0.0.2		0		x		0		1736		x		x		x		x	0	83.3072
0.63		1.0.0.2		0		x		0		1805		x		x		x		x	0	47.8134
0.63		7.0.0.2		0		x		0		1805		x		x		x		x	0	83.3179
0.635		1.0.0.2		0		x		0		1875		x		x		x		x	0	47.7328
0.635		7.0.0.2		0		x		0		1875		x		x		x		x	0	83.4647
0.64		1.0.0.2		0		x		0		1944		x		x		x		x	0	47.7355
0.64		7.0.0.2		0		x		0		1944		x		x		x		x	0	83.6621
0.645		1.0.0.2		2912.23		x		0		2013		x		x		x		x	23172.2	47.8673
0.645		7.0.0.2		817.216		x		0		2013		x		x		x		x	23172.2	83.6222
0.65		1.0.0.2		2912.23		x		0		2083		x		x		x		x	23172.2	47.661
0.65		7.0.0.2		817.216		x		0		2083		x		x		x		x	23172.2	83.3236
0.655		1.0.0.2		2912.23		x		0		2152		x		x		x		x	23172.2	47.801
0.655		7.0.0.2		817.216		x		0		2152		x		x		x		x	23172.2	83.6436
0.66		1.0.0.2		2912.23		x		0		2222		x		x		x		x	23172.2	47.7309
0.66		7.0.0.2		817.216		x		0		2222		x		x		x		x	23172.2	83.481
0.665		1.0.0.2		2912.23		x		0		2291		x		x		x		x	23172.2	47.8039
0.665		7.0.0.2		817.216		x		0		2291		x		x		x		x	23172.2	83.6518
0.67		1.0.0.2		2912.23		x		0		2361		x		x		x		x	23172.2	47.8253
0.67		7.0.0.2		817.216		x		0		2361		x		x		x		x	23172.2	83.6385
0.675		1.0.0.2		2912.23		x		0		2430		x		x		x		x	23172.2	47.6307
0.675		7.0.0.2		817.216		x		0		2430		x		x		x		x	23172.2	83.3159
0.68		1.0.0.2		2912.23		x		0		2500		x		x		x		x	23172.2	47.8758
0.68		7.0.0.2		817.216		x		0		2500		x		x		x		x	23172.2	83.3
0.685		1.0.0.2		2912.23		x		0		2569		x		x		x		x	23172.2	47.6395
0.685		7.0.0.2		817.216		x		0		2569		x		x		x		x	23172.2	83.4794
