1.46493s 1 1.46493 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 26264 ssthresh 65535
1.47793s 1 1.47793 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 26800 ssthresh 65535
1.47793s 1 1.47793 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 27336 ssthresh 65535
1.49193s 1 1.49193 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 27872 ssthresh 65535
1.49193s 1 1.49193 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 28408 ssthresh 65535
1.50593s 1 1.50593 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 28944 ssthresh 65535
1.50593s 1 1.50593 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 29480 ssthresh 65535
1.51893s 1 1.51893 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 30016 ssthresh 65535
1.51893s 1 1.51893 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 30552 ssthresh 65535
1.53293s 1 1.53293 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 31088 ssthresh 65535
1.53293s 1 1.53293 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 31624 ssthresh 65535
1.54693s 1 1.54693 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 32160 ssthresh 65535
1.54693s 1 1.54693 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 32696 ssthresh 65535
1.54693s 1 1.54693 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 33232 ssthresh 65535
1.56393s 1 1.56393 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 33768 ssthresh 65535
1.56393s 1 1.56393 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 34304 ssthresh 65535
1.57793s 1 1.57793 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 34840 ssthresh 65535
1.57793s 1 1.57793 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 35376 ssthresh 65535
1.59093s 1 1.59093 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 35912 ssthresh 65535
1.59093s 1 1.59093 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 36448 ssthresh 65535
1.60493s 1 1.60493 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 36984 ssthresh 65535
1.60493s 1 1.60493 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 37520 ssthresh 65535
1.61893s 1 1.61893 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 38056 ssthresh 65535
1.61893s 1 1.61893 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 38592 ssthresh 65535
1.63193s 1 1.63193 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 39128 ssthresh 65535
1.63193s 1 1.63193 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 39664 ssthresh 65535
1.64593s 1 1.64593 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 40200 ssthresh 65535
1.64593s 1 1.64593 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 40736 ssthresh 65535
1.65993s 1 1.65993 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 41272 ssthresh 65535
1.65993s 1 1.65993 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 41808 ssthresh 65535
1.67293s 1 1.67293 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 42344 ssthresh 65535
1.67293s 1 1.67293 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 42880 ssthresh 65535
1.68693s 1 1.68693 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 43416 ssthresh 65535
1.68693s 1 1.68693 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 43952 ssthresh 65535
1.70093s 1 1.70093 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 44488 ssthresh 65535
1.70093s 1 1.70093 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 45024 ssthresh 65535
1.70093s 1 1.70093 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 45560 ssthresh 65535
1.71793s 1 1.71793 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 46096 ssthresh 65535
1.71793s 1 1.71793 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 46632 ssthresh 65535
1.73093s 1 1.73093 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 47168 ssthresh 65535
1.73093s 1 1.73093 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 47704 ssthresh 65535
1.74493s 1 1.74493 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 48240 ssthresh 65535
1.74493s 1 1.74493 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 48776 ssthresh 65535
1.75893s 1 1.75893 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 49312 ssthresh 65535
1.75893s 1 1.75893 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 49848 ssthresh 65535
1.77193s 1 1.77193 [node 1] TcpNewReno:NewAck(): In SlowStart, updated to cwnd 50384 ssthresh 65535
