#DestinationIp	Time	Send Tcp throughput	Send Tcp delay	Number of Lost Pkts	Number of Tx Pkts	ErrorUlTx	ErrorDlTx	HarqUlTx	HarqDlTx
0.5		7.0.0.2		0		x		0		1		x		x		x		x	0	0
0.505		7.0.0.2		0		x		0		1		x		x		x		x	0	0
0.51		7.0.0.2		0		x		0		1		x		x		x		x	0	0
0.515		7.0.0.2		0		x		0		1		x		x		x		x	0	0
0.52		7.0.0.2		0		x		0		1		x		x		x		x	0	0
0.525		7.0.0.2		0		x		0		1		x		x		x		x	0	0
0.53		7.0.0.2		0		x		0		1		x		x		x		x	0	0
0.535		1.0.0.2		0		x		0		1		x		x		x		x	0	0
0.535		7.0.0.2		0		x		0		1		x		x		x		x	0	34
0.54		1.0.0.2		0		x		0		1		x		x		x		x	0	0
0.54		7.0.0.2		0		x		0		1		x		x		x		x	0	34
0.545		1.0.0.2		0		x		0		1		x		x		x		x	0	0
0.545		7.0.0.2		0		x		0		1		x		x		x		x	0	34
0.55		1.0.0.2		0		x		0		1		x		x		x		x	0	0
0.55		7.0.0.2		0		x		0		1		x		x		x		x	0	34
0.555		1.0.0.2		0		x		0		1		x		x		x		x	0	0
0.555		7.0.0.2		0		x		0		1		x		x		x		x	0	34
0.56		1.0.0.2		0		x		0		1		x		x		x		x	0	0
0.56		7.0.0.2		0		x		0		1		x		x		x		x	0	34
0.565		1.0.0.2		0		x		0		1		x		x		x		x	0	0
0.565		7.0.0.2		0		x		0		1		x		x		x		x	0	34
0.57		1.0.0.2		0		x		0		1		x		x		x		x	0	0
0.57		7.0.0.2		0		x		0		1		x		x		x		x	0	34
0.575		1.0.0.2		0		x		0		1		x		x		x		x	0	0
0.575		7.0.0.2		0		x		0		1		x		x		x		x	0	34
0.58		1.0.0.2		0		x		0		1		x		x		x		x	0	41.9296
0.58		7.0.0.2		0		x		0		3		x		x		x		x	0	34
0.585		1.0.0.2		0		x		0		1		x		x		x		x	0	41.9296
0.585		7.0.0.2		0		x		0		3		x		x		x		x	0	34
0.59		1.0.0.2		0		x		0		1		x		x		x		x	0	41.9296
0.59		7.0.0.2		0		x		0		3		x		x		x		x	0	34
0.595		1.0.0.2		0		x		0		1		x		x		x		x	0	41.9296
0.595		7.0.0.2		0		x		0		3		x		x		x		x	0	34
